,Gender,Age,Date_of_birth,Nationality,Municipality,Canton,Salary,Social_matricule,Ethnicity,hair_color,hair_lenght,First_name,Surname
15,M,40,19830208,France,Wiltz,Canton Wiltz,3833.0,198302088893*,white,gray,long,Roger,Guillot
16,M,39,19840123,Luxembourg,Koerich,Canton Capellen,7184.0,198401234708*,white,black,long,Jean,Depoorter
17,M,39,19841214,Germany,Steinsel,Canton Luxembourg,8560.0,198412144400*,white,gray,long,Martin,Reising
18,M,38,19850518,Luxembourg,Hesperange,Canton Luxembourg,6154.0,198505181423*,white,red,medium,Dany,Lambert
19,M,18,20051213,United Kingdom,Sanem,Canton Esch,3642.0,200512139395*,white,black,long,Jack,Gonzalez
20,M,19,20040622,India,Kayl,Canton Esch,3616.0,200406223720*,south asians,black,medium,Urvi,Kumar
21,M,63,19600618,Belgium,Esch-sur-Alzette,Canton Esch,4803.0,196006185877*,white,brown,medium,Dirk,Janssens
22,M,86,19370120,Luxembourg,Koerich,Canton Capellen,0.0,193701209319*,white,gray,medium,Jérôme,Fischer
23,M,23,20000518,France,Junglinster,Canton Grevenmacher,3244.0,200005182812*,white,red,long,Gabriel,Lelièvre
24,F,34,19890315,Luxembourg,Luxembourg,Canton Luxembourg,3460.0,198903154665*,white,black,medium,Jacqueline,Mertens
25,M,18,20051014,Belgium,Esch-sur-Alzette,Canton Esch,1803.0,200510147133*,white,brown,long,Patrick,Jansen
26,M,29,19941123,Luxembourg,Esch-sur-Alzette,Canton Esch,2803.0,199411230503*,white,brown,long,Walter,Da Costa
27,M,53,19700315,Portugal,Schifflange,Canton Esch,3042.0,197003150341*,white,black,short,Cláudio,Gaspar
28,M,72,19510626,Luxembourg,Vallée de l'Ernz,Canton Diekirch,0.0,195106267250*,white,gray,medium,Martin,Meunier
29,M,75,19480428,Luxembourg,Troisvierges,Canton Clervaux,0.0,194804281379*,white,gray,long,Lars,Janssen
30,M,51,19720730,France,Mondercange,Canton Esch,1080.0,197207307342*,black,gray,short,Marc,Grenier
31,M,42,19810405,Luxembourg,Wincrange,Canton Clervaux,10532.0,198104054424*,white,gray,long,Lucas,Rousset
32,M,35,19881215,Luxembourg,Luxembourg,Canton Luxembourg,3960.0,198812158885*,black,red,long,Tom,Van Dijck
33,F,83,19400410,Luxembourg,Walferdange,Canton Luxembourg,0.0,194004109889*,latino,gray,medium,Anouk,Langlois
34,F,36,19871028,Luxembourg,Lorentzweiler,Canton Mersch,13726.0,198710283392*,white,brown,long,Elise,Bogaert
35,M,48,19751212,Luxembourg,Rumelange,Canton Esch,3904.0,197512124798*,latino,black,long,Julien,De Smet
36,M,41,19821104,France,Mamer,Canton Capellen,5201.0,198211041996*,white,black,long,Gabriel,Delannoy
37,M,58,19651117,Portugal,Grevenmacher,Canton Grevenmacher,4361.0,196511176358*,white,black,long,Wilson,Castro
38,M,27,19961124,Luxembourg,Luxembourg,Canton Luxembourg,6460.0,199611243738*,white,red,long,Ronny,Guibert
39,F,43,19800406,Luxembourg,Dudelange,Canton Esch,9453.0,198004068284*,latino,brown,short,Odette,Mestdagh
40,M,19,20041216,Belgium,Garnich,Canton Capellen,2743.0,200412164513*,white,black,long,Wim,Verheyen
41,F,30,19930326,Luxembourg,Steinsel,Canton Luxembourg,5060.0,199303267225*,white,brown,short,Dorothée,Hendrickx
42,M,40,19831023,Luxembourg,Erpeldange-sur-Sûre,Canton Diekirch,9645.0,198310230298*,white,black,short,Eric,Fischer
43,M,65,19580926,Luxembourg,Mamer,Canton Capellen,0.0,195809265395*,white,black,long,Léon,Gay
44,F,80,19431122,Italy,Feulen,Canton Diekirch,0.0,194311225548*,white,gray,short,Monica,Gianinazzi
45,F,91,19321024,Luxembourg,Hesperange,Canton Luxembourg,0.0,193210241065*,white,gray,medium,Lynn,Salmon
46,M,42,19810531,India,Walferdange,Canton Luxembourg,9145.0,198105318905*,south asians,black,medium,Arhaan,Saraf
47,M,49,19741006,Luxembourg,Redange-sur-Attert,Canton Redange,Nan,197410065810*,black,brown,long,Jean,De Sousa
48,F,30,19930219,France,Luxembourg,Canton Luxembourg,9960.0,199302192530*,black,gray,short,Dominique,Baron
49,M,34,19890304,Luxembourg,Hesperange,Canton Luxembourg,1154.0,198903045118*,white,gray,medium,Roger,D'hondt
50,M,25,19981118,Luxembourg,Luxembourg,Canton Luxembourg,5460.0,199811185188*,white,blond,short,Joseph,Torfs
51,F,49,19741030,Italy,Erpeldange-sur-Sûre,Canton Diekirch,13145.0,197410306869*,white,black,medium,Cassandra,Casalodi
52,M,60,19630725,Italy,Berdorf,Canton Echternach,5412.0,196307253303*,white,gray,long,Patrizio,Battisti
53,F,55,19681103,Luxembourg,Bissen,Canton Mersch,2555.0,196811039906*,white,gray,long,Zoé,Van Looveren
54,M,22,20010201,Portugal,Luxembourg,Canton Luxembourg,7460.0,200102017852*,white,red,medium,Joaquim,Paiva
55,M,45,19780416,Luxembourg,Luxembourg,Canton Luxembourg,1460.0,197804168684*,white,blond,medium,Björn,Martinez
56,F,57,19660415,India,Wiltz,Canton Wiltz,2833.0,196604152674*,south asians,black,long,Mamooty,Rau
57,F,37,19860221,Luxembourg,Ettelbruck,Canton Diekirch,2862.0,198602211460*,white,gray,medium,Monique,Rey
58,M,76,19470126,Luxembourg,Steinfort,Canton Capellen,0.0,194701262691*,latino,gray,short,Thomas,Roels
59,F,46,19770816,Luxembourg,Frisange,Canton Esch,4128.0,197708163670*,white,black,long,Anastasie,Fouquet
60,F,55,19680416,Luxembourg,Wiltz,Canton Wiltz,5333.0,196804163481*,white,gray,long,Laurence,Pasquier
61,F,71,19520622,Portugal,Dudelange,Canton Esch,0.0,195206228618*,white,gray,medium,Lia,Brito
62,F,68,19550809,Luxembourg,Beckerich,Canton Redange,0.0,195508092523*,white,black,medium,Cécile,Wuyts
63,F,58,19650305,Luxembourg,Wincrange,Canton Clervaux,2032.0,196503055311*,white,black,medium,Brigitte,Gillet
64,M,65,19580417,Luxembourg,Steinsel,Canton Luxembourg,0.0,195804179420*,black,gray,medium,Jonathan,Meersman
65,M,30,19930629,Brazil,Luxembourg,Canton Luxembourg,2960.0,199306291038*,latino,black,long,Thiago,Nogueira
66,F,19,20040107,Portugal,Esch-sur-Alzette,Canton Esch,8803.0,200401078334*,white,blond,medium,Valentina,Carneiro
67,F,47,19760902,United Kingdom,Roeser,Canton Esch,6632.0,197609028297*,white,black,short,Pamela,Harrell
68,F,62,19610327,Portugal,Frisange,Canton Esch,1128.0,196103277326*,white,blond,medium,Catarina,Baptista
69,M,59,19641217,Luxembourg,Luxembourg,Canton Luxembourg,4960.0,196412175794*,latino,black,long,Joannes,Vandenbussche
70,F,35,19880130,Luxembourg,Steinfort,Canton Capellen,2157.0,198801302779*,white,brown,long,Olivie,Hervé
71,M,28,19951024,Luxembourg,Luxembourg,Canton Luxembourg,1460.0,199510240817*,white,black,short,Théodore,Valette
72,F,27,19960130,Luxembourg,Luxembourg,Canton Luxembourg,8460.0,199601305203*,white,brown,medium,Paulette,Engelen
73,M,59,19640726,Luxembourg,Lintgen,Canton Mersch,3116.0,196407262968*,black,gray,short,Leon,Leduc
74,M,20,20030209,Luxembourg,Käerjeng,Canton Capellen,5141.0,200302095784*,white,red,long,Émile,Guyon
75,F,20,20031109,Luxembourg,Differdange,Canton Esch,1968.0,200311099994*,white,brown,long,Sabine,Legrand
76,M,42,19811208,Luxembourg,Ell,Canton Redange,4671.0,198112080170*,white,brown,long,Marc,Sanchez
77,F,26,19970411,Luxembourg,Pétange,Canton Esch,1528.0,199704110252*,white,black,short,Gabrielle,Broeckx
78,F,49,19740330,France,Luxembourg,Canton Luxembourg,7460.0,197403309555*,white,black,short,Denise,Ledoux
79,M,55,19680807,Ukraine,Feulen,Canton Diekirch,5842.0,196808076077*,white,gray,long,Устим,Іващенко
80,F,53,19700517,Portugal,Schifflange,Canton Esch,2542.0,197005177001*,white,black,short,Constança,Miranda
81,M,41,19820913,Luxembourg,Echternach,Canton Echternach,4723.0,198209133600*,white,brown,long,Hubert,Payet
82,M,54,19690111,Luxembourg,Walferdange,Canton Luxembourg,18145.0,196901111146*,white,black,short,Joannes,Verhaeghe
83,M,20,20030712,Germany,Rambrouch,Canton Redange,3546.0,200307120848*,white,red,short,Fritz,Naser
84,F,46,19770318,Portugal,Boulaide,Canton Wiltz,10395.0,197703187432*,white,gray,short,Luana,Correia
85,F,20,20030329,Luxembourg,Diekirch,Canton Diekirch,1390.0,200303299189*,black,black,short,Paulette,Valentin
86,F,34,19890501,Luxembourg,Lorentzweiler,Canton Mersch,10726.0,198905017657*,white,red,long,Margaret,Bazin
87,F,40,19830218,Luxembourg,Luxembourg,Canton Luxembourg,2460.0,198302186710*,white,black,short,Nora,Vandewalle
88,M,63,19600219,Luxembourg,Parc Hosingen,Canton Clervaux,7585.0,196002197727*,white,gray,medium,Bernard,Moreau
89,M,52,19711010,Portugal,Luxembourg,Canton Luxembourg,5460.0,197110103402*,white,black,long,João,Carneiro
90,M,25,19980901,Luxembourg,Helperknapp,Canton Mersch,3917.0,199809015564*,black,gray,long,Mario,Berger
91,F,58,19650728,France,Differdange,Canton Esch,5468.0,196507287459*,white,gray,short,Édith,Roche
92,F,50,19730610,Luxembourg,Luxembourg,Canton Luxembourg,3460.0,197306108487*,latino,black,long,Claire,Meersman
93,M,75,19480402,France,Schifflange,Canton Esch,0.0,194804023225*,white,black,long,Jean,Michel
94,F,50,19730914,France,Esch-sur-Alzette,Canton Esch,9803.0,197309141127*,white,black,long,Astrid,Bigot
95,F,53,19700124,Portugal,Luxembourg,Canton Luxembourg,2460.0,197001244793*,white,blond,short,Isabela,Lopes
96,M,65,19581027,Luxembourg,Esch-sur-Sûre,Canton Wiltz,0.0,195810274210*,latino,gray,medium,Kristof,Blondeel
97,F,38,19850405,Belgium,Betzdorf,Canton Grevenmacher,9625.0,198504059992*,white,gray,long,Martine,Verhaeghe
98,M,40,19830427,Italy,Mertzig,Canton Diekirch,3742.0,198304276098*,white,black,short,Valerio,Abbagnale
99,F,34,19891014,Portugal,Pétange,Canton Esch,2528.0,198910144923*,white,black,short,Salomé,Brito
100,M,28,19950705,Portugal,Habscht,Canton Capellen,3139.0,199507053004*,white,brown,medium,Valentim,Barros
101,M,39,19840330,India,Differdange,Canton Esch,1468.0,198403302342*,south asians,black,medium,Saira,Bhargava
102,M,61,19620711,Portugal,Schifflange,Canton Esch,6542.0,196207117118*,white,gray,medium,Afonso,Cruz
103,F,76,19470401,Luxembourg,Schuttrange,Canton Luxembourg,0.0,194704015840*,white,gray,short,Christel,Peeters
104,M,28,19950828,France,Wincrange,Canton Clervaux,6532.0,199508282327*,white,black,short,Augustin,Bonneau
105,M,50,19730111,Luxembourg,Ell,Canton Redange,6171.0,197301110404*,white,black,short,Luc,Van Dooren
106,M,19,20040103,Belgium,Pétange,Canton Esch,3028.0,200401030319*,white,blond,medium,Philippe,De Ridder
107,F,72,19511120,Luxembourg,Luxembourg,Canton Luxembourg,0.0,195111207569*,black,gray,medium,Elif,Chartier
108,M,51,19720831,Luxembourg,Kehlen,Canton Capellen,19207.0,197208310213*,white,black,long,Tijl,De Muynck
109,M,62,19610130,Luxembourg,Dalheim,Canton Remich,3540.0,196101300717*,black,gray,long,Marcel,Weiss
110,M,61,19621210,Luxembourg,Differdange,Canton Esch,5968.0,196212106135*,white,blond,medium,Robert,Joly
111,F,37,19861227,Portugal,Käerjeng,Canton Capellen,1641.0,198612274403*,white,black,long,Mafalda,Correia
112,M,34,19890815,Portugal,Luxembourg,Canton Luxembourg,5960.0,198908152195*,white,black,short,Fábio,Pinto
113,M,71,19521218,Luxembourg,Pétange,Canton Esch,0.0,195212180829*,white,gray,medium,Hamza,Rottiers
114,M,26,19970114,Luxembourg,Pétange,Canton Esch,3028.0,199701146689*,white,red,long,Jozef,Bertrand
115,M,28,19951224,Luxembourg,Luxembourg,Canton Luxembourg,8460.0,199512242804*,white,black,long,Filip,Geuens
116,F,55,19680720,Luxembourg,Hesperange,Canton Luxembourg,3154.0,196807200617*,white,gray,short,Zoé,Parent
117,F,72,19510205,Belgium,Pétange,Canton Esch,0.0,195102051649*,white,gray,medium,Kim,Viaene
118,F,23,20000312,United States of Ameria,Käerjeng,Canton Capellen,2141.0,200003127856*,black,red,long,Helen,Patrick
119,M,50,19730803,Luxembourg,Wormeldange,Canton Grevenmacher,3822.0,197308030595*,white,red,medium,Michel,Bouvet
120,M,48,19751222,Luxembourg,Dudelange,Canton Esch,1453.0,197512224446*,latino,black,short,Théodore,Van Looy
121,M,23,20000127,Luxembourg,Luxembourg,Canton Luxembourg,1460.0,200001270787*,black,brown,medium,Christoph,Hamon
122,F,34,19890624,Luxembourg,Wiltz,Canton Wiltz,9333.0,198906248071*,latino,gray,medium,Stella,Lenaerts
123,F,22,20011219,Portugal,Reckange-sur-Mess,Canton Esch,4983.0,200112193541*,white,black,long,Luciana,Pires
124,F,33,19900517,Portugal,Hesperange,Canton Luxembourg,3654.0,199005176850*,white,red,short,Benedita,Baptista
125,F,60,19630621,Luxembourg,Niederanven,Canton Luxembourg,6455.0,196306212895*,white,black,medium,Michèle,Vermeersch
126,M,61,19620121,Luxembourg,Sanem,Canton Esch,3142.0,196201216588*,white,gray,medium,Francis,Carre
127,F,70,19540101,Portugal,Mertzig,Canton Diekirch,0.0,195401014719*,white,black,short,Marta,Matias
128,F,54,19690305,Luxembourg,Bertrange,Canton Luxembourg,11087.0,196903059006*,white,brown,long,Anja,Verheyen
129,F,67,19560214,Luxembourg,Clervaux,Canton Clervaux,0.0,195602140523*,white,black,short,Helena,Noël
130,F,26,19971231,Luxembourg,Mersch,Canton Mersch,9055.0,199712310022*,white,red,long,Debby,Barbe
131,F,65,19581009,Luxembourg,Steinsel,Canton Luxembourg,0.0,195810092482*,white,gray,medium,Eveline,Perrot
132,M,29,19940930,Luxembourg,Pétange,Canton Esch,3028.0,199409309025*,black,gray,medium,Steven,Chauvin
133,M,32,19910322,Luxembourg,Dippach,Canton Capellen,3166.0,199103226235*,white,black,long,Thibaut,Colin
134,M,30,19930616,Poland,Strassen,Canton Luxembourg,4587.0,199306161442*,white,red,short,Rafał,Pielach
135,F,87,19360301,Poland,Esch-sur-Alzette,Canton Esch,0.0,193603011100*,white,gray,medium,Dagmara,Łyczek
136,M,54,19690605,Italy,Luxembourg,Canton Luxembourg,4960.0,196906056592*,white,brown,long,Martino,Ruggeri
137,F,22,20010202,Luxembourg,Luxembourg,Canton Luxembourg,5960.0,200102023926*,white,black,medium,Isabelle,Robin
138,M,57,19660603,Spain,Esch-sur-Alzette,Canton Esch,1803.0,196606036407*,white,blond,short,Cosme,Arrieta
139,F,44,19791107,Luxembourg,Rosport-Mompach,Canton Echternach,1096.0,197911076373*,white,gray,medium,Nicole,Verbruggen
140,M,54,19690302,Belgium,Hesperange,Canton Luxembourg,11154.0,196903026629*,white,gray,short,Sander,Maris
141,F,77,19460219,Belgium,Luxembourg,Canton Luxembourg,0.0,194602195840*,white,gray,short,Emma,Colpaert
142,F,62,19611108,Germany,Mondorf-les-Bains,Canton Remich,1884.0,196111088479*,white,gray,long,Berit,Wulff
143,F,40,19830507,Luxembourg,Luxembourg,Canton Luxembourg,1960.0,198305072003*,white,brown,medium,Paula,Moreno
144,M,51,19720327,Luxembourg,Koerich,Canton Capellen,3184.0,197203274170*,white,black,medium,Guido,Casier
145,M,67,19560115,Luxembourg,Luxembourg,Canton Luxembourg,0.0,195601151172*,white,gray,long,Eric,Thierry
146,F,50,19730830,Luxembourg,Wiltz,Canton Wiltz,5833.0,197308306952*,black,black,long,Michelle,Van Damme
147,M,60,19630619,France,Bourscheid,Canton Diekirch,4597.0,196306194063*,white,black,long,Timothée,Seguin
148,F,29,19940218,Luxembourg,Luxembourg,Canton Luxembourg,2960.0,199402184490*,white,black,medium,Anaïs,Wellens
149,F,36,19870102,Luxembourg,Luxembourg,Canton Luxembourg,11960.0,198701028926*,black,gray,medium,Ellen,Vandenbussche
150,M,40,19830612,Luxembourg,Luxembourg,Canton Luxembourg,16460.0,198306120968*,white,brown,short,René,Verheyen
151,M,27,19960529,Luxembourg,Luxembourg,Canton Luxembourg,10460.0,199605290306*,black,blond,short,Leon,Vermeersch
152,F,71,19520831,Italy,Pétange,Canton Esch,0.0,195208318231*,white,gray,short,Emma,Vergassola
153,F,32,19910929,Portugal,Steinsel,Canton Luxembourg,7060.0,199109291691*,white,brown,long,Eva,Torres
154,M,54,19690726,France,Bettembourg,Canton Esch,1096.0,196907262990*,white,black,short,Thibault,Loiseau
155,F,62,19610921,Italy,Dudelange,Canton Esch,2453.0,196109211923*,white,brown,long,Tatiana,Vecoli
156,F,21,20020729,Portugal,Hesperange,Canton Luxembourg,1654.0,200207297136*,white,black,medium,Matilde,Lopes
157,M,45,19780508,Luxembourg,Luxembourg,Canton Luxembourg,7960.0,197805083196*,white,brown,long,Richard,Claeys
158,F,33,19900527,Luxembourg,Betzdorf,Canton Grevenmacher,6125.0,199005276151*,white,black,medium,Louise,Jansen
159,F,74,19490325,Luxembourg,Esch-sur-Alzette,Canton Esch,0.0,194903253141*,white,black,short,Anna,Pauwels
160,M,49,19740525,Luxembourg,Sanem,Canton Esch,5142.0,197405258353*,latino,black,long,Daniel,Lejeune
161,M,59,19640828,Luxembourg,Parc Hosingen,Canton Clervaux,5085.0,196408286640*,latino,black,medium,Alain,Rombaut
162,M,45,19781206,Luxembourg,Bertrange,Canton Luxembourg,26587.0,197812062853*,white,blond,long,Bryan,Vansteenkiste
163,F,41,19820726,Luxembourg,Luxembourg,Canton Luxembourg,2960.0,198207261841*,white,red,medium,Jeanne,De Smet
164,M,39,19840209,Luxembourg,Hesperange,Canton Luxembourg,15154.0,198402095245*,white,red,short,Walter,Eeckhout
165,M,46,19770802,Luxembourg,Hesperange,Canton Luxembourg,5154.0,197708022172*,white,gray,medium,Didier,Dumas
166,M,58,19650319,Luxembourg,Feulen,Canton Diekirch,3842.0,196503190002*,white,black,long,Dirk,Janssen
167,M,33,19900828,Portugal,Luxembourg,Canton Luxembourg,3960.0,199008280609*,white,blond,short,Leonardo,Loureiro
168,M,24,19990924,Luxembourg,Sanem,Canton Esch,3142.0,199909245313*,white,red,medium,Timothée,Martineau
169,M,41,19821102,Luxembourg,Luxembourg,Canton Luxembourg,11960.0,198211029130*,white,black,medium,Georges,Pasquier
170,F,64,19590916,Luxembourg,Luxembourg,Canton Luxembourg,7460.0,195909164229*,white,gray,long,Anna,Pineau
171,F,66,19570605,Luxembourg,Niederanven,Canton Luxembourg,0.0,195706059449*,white,black,medium,Kelly,Bouchet
172,F,70,19530523,Luxembourg,Käerjeng,Canton Capellen,0.0,195305236811*,white,gray,medium,Lisa,Meyer
173,F,63,19600213,Luxembourg,Echternach,Canton Echternach,5723.0,196002133352*,black,gray,short,Nicole,Gonzalez
174,F,66,19570926,Spain,Luxembourg,Canton Luxembourg,0.0,195709266589*,white,black,short,Azeneth,Barco
175,F,71,19520510,Belgium,Mertert,Canton Grevenmacher,0.0,195205106608*,white,gray,medium,Caroline,Daniels
176,F,37,19860505,Luxembourg,Luxembourg,Canton Luxembourg,9460.0,198605051229*,black,blond,long,Marie,Girard
177,F,53,19700418,Spain,Bous,Canton Remich,4637.0,197004182674*,white,black,short,Felisa,Vallejo
178,M,46,19770304,Luxembourg,Berdorf,Canton Echternach,4412.0,197703042692*,white,brown,short,Augustin,Baeten
179,M,19,20040115,Luxembourg,Luxembourg,Canton Luxembourg,4460.0,200401155867*,white,black,short,Vince,Carlier
180,F,72,19510406,Netherlands,Parc Hosingen,Canton Clervaux,0.0,195104065450*,white,black,short,Eline,Knuf
181,M,28,19950110,Luxembourg,Hesperange,Canton Luxembourg,1154.0,199501102762*,latino,brown,long,Thibault,Fouquet
182,M,26,19971001,Portugal,Grevenmacher,Canton Grevenmacher,1861.0,199710011234*,white,red,long,Wilson,Cruz
183,F,27,19960715,Italy,Differdange,Canton Esch,5468.0,199607152898*,white,brown,medium,Stefania,Farinelli
184,M,58,19651122,Italy,Esch-sur-Alzette,Canton Esch,4303.0,196511224908*,white,black,long,Ranieri,Galvani
185,M,43,19801111,Luxembourg,Sanem,Canton Esch,3142.0,198011111578*,black,brown,medium,Edward,De Laet
186,F,49,19740413,Luxembourg,Differdange,Canton Esch,2968.0,197404135454*,latino,red,medium,Agnes,Sauvage
187,M,47,19760311,Luxembourg,Biwer,Canton Grevenmacher,12984.0,197603114977*,white,blond,medium,Louis,Sanchez
188,M,27,19960329,Luxembourg,Hesperange,Canton Luxembourg,1654.0,199603297175*,white,black,long,Émile,Lievens
189,M,30,19931009,Portugal,Differdange,Canton Esch,2968.0,199310097705*,white,brown,long,Luís,Cruz
190,M,23,20000222,Luxembourg,Walferdange,Canton Luxembourg,2145.0,200002221844*,white,black,medium,Kristof,Van Nuffel
191,F,37,19860604,Luxembourg,Esch-sur-Alzette,Canton Esch,803.0,198606042654*,white,black,medium,Nancy,Roussel
192,M,59,19640102,Germany,Strassen,Canton Luxembourg,5087.0,196401029572*,white,gray,short,Reiner,Schleich
193,F,52,19710617,Luxembourg,Diekirch,Canton Diekirch,890.0,197106179079*,white,black,long,Marianne,Lamy
194,M,68,19551229,Luxembourg,Niederanven,Canton Luxembourg,0.0,195512299427*,black,brown,short,Thor,Dumont
195,F,73,19500102,Portugal,Parc Hosingen,Canton Clervaux,0.0,195001020604*,white,gray,long,Raquel,Torres
196,M,40,19830821,Luxembourg,Mamer,Canton Capellen,7201.0,198308210861*,white,brown,short,Patrick,Cools
197,M,23,20001005,Italy,Luxembourg,Canton Luxembourg,18960.0,200010059432*,white,brown,long,Elladio,Simeoni
198,F,35,19880720,Luxembourg,Clervaux,Canton Clervaux,9479.0,198807206232*,white,black,short,Maya,De Clerck
199,M,36,19870306,Luxembourg,Luxembourg,Canton Luxembourg,2460.0,198703063007*,white,black,medium,Antoine,Mary
200,F,33,19900218,Luxembourg,Pétange,Canton Esch,2528.0,199002187849*,white,gray,medium,Arnaude,Smet
201,F,40,19831005,Luxembourg,Erpeldange-sur-Sûre,Canton Diekirch,9645.0,198310057199*,black,brown,short,Nicole,Boucher
202,M,54,19690915,Italy,Clervaux,Canton Clervaux,3979.0,196909153397*,white,black,medium,Manuel,Doria
203,F,64,19591106,Luxembourg,Mersch,Canton Mersch,9555.0,195911064564*,white,gray,short,Astrid,Meeus
204,M,53,19701015,France,Esch-sur-Alzette,Canton Esch,8303.0,197010159140*,white,gray,short,Matthieu,Neveu
205,F,27,19960923,Luxembourg,Dudelange,Canton Esch,1453.0,199609237065*,white,brown,short,Élise,Vallée
206,F,61,19620121,Luxembourg,Differdange,Canton Esch,1968.0,196201214059*,white,gray,long,Amber,Wouters
207,M,63,19600730,Luxembourg,Luxembourg,Canton Luxembourg,15460.0,196007306703*,white,gray,long,Jan,Meyer
208,M,70,19530811,Luxembourg,Parc Hosingen,Canton Clervaux,0.0,195308119749*,white,gray,short,Peter,Kerkhofs
209,F,51,19720915,Luxembourg,Dudelange,Canton Esch,9453.0,197209157698*,white,black,medium,Marina,Gautier
210,F,68,19550314,Luxembourg,Luxembourg,Canton Luxembourg,0.0,195503144885*,white,gray,short,Susan,Broeckx
211,F,58,19650904,France,Rumelange,Canton Esch,2904.0,196509041097*,white,blond,short,Suzanne,Guichard
212,F,19,20041212,Luxembourg,Luxembourg,Canton Luxembourg,15460.0,200412123218*,white,brown,long,Victoire,Decock
213,F,28,19951221,Portugal,Ettelbruck,Canton Diekirch,5862.0,199512213717*,white,gray,medium,Lia,Henriques
214,M,35,19880701,Germany,Esch-sur-Alzette,Canton Esch,3303.0,198807010381*,white,blond,short,Micha,Dietz
215,F,70,19530305,France,Luxembourg,Canton Luxembourg,0.0,195303055905*,white,gray,short,Denise,Couturier
216,F,26,19971018,Luxembourg,Luxembourg,Canton Luxembourg,3960.0,199710188122*,latino,gray,long,Adrienne,Van Damme
217,F,62,19610827,India,Rambrouch,Canton Redange,10546.0,196108277540*,south asians,gray,medium,Hazel,Joshi
218,F,22,20010806,Luxembourg,Differdange,Canton Esch,1468.0,200108064674*,latino,black,medium,Carine,Verhoeven
219,M,72,19510912,Luxembourg,Mondercange,Canton Esch,0.0,195109120065*,white,black,long,William,Martens
220,M,25,19980419,Luxembourg,Pétange,Canton Esch,3028.0,199804199386*,white,gray,long,Ayman,Godard
221,F,62,19610724,Italy,Mamer,Canton Capellen,12701.0,196107242882*,white,gray,medium,Isa,Sagnelli
222,F,56,19671021,Luxembourg,Sandweiler,Canton Luxembourg,2583.0,196710216682*,white,blond,short,Christel,Bauwens
223,F,27,19960805,Luxembourg,Manternach,Canton Grevenmacher,2880.0,199608053518*,white,gray,medium,Christel,Monnier
224,F,40,19830215,Luxembourg,Pétange,Canton Esch,4528.0,198302157424*,white,black,long,Arlette,Robin
225,M,40,19830810,Luxembourg,Redange-sur-Attert,Canton Redange,Nan,198308106656*,white,black,short,Tristan,Boutin
226,M,37,19861103,Luxembourg,Dudelange,Canton Esch,4453.0,198611039297*,white,brown,long,Levi,Meunier
227,F,25,19981124,Luxembourg,Luxembourg,Canton Luxembourg,3960.0,199811242975*,white,brown,medium,Lina,Pereira
228,F,31,19920730,Belgium,Hesperange,Canton Luxembourg,1654.0,199207309397*,white,gray,short,Rosa,Moors
229,F,47,19760817,Luxembourg,Pétange,Canton Esch,2028.0,197608170292*,white,black,short,Aurélie,Barre
230,M,23,20000307,Luxembourg,Ettelbruck,Canton Diekirch,8862.0,200003077017*,white,brown,short,Roeland,Van den Broeck
231,M,45,19781123,Italy,Mertzig,Canton Diekirch,5242.0,197811230342*,white,black,medium,Gastone,Morellato
232,M,62,19610220,Luxembourg,Esch-sur-Alzette,Canton Esch,2803.0,196102207193*,latino,gray,long,Nico,Weiss
