Matricule,Nom,Prenom,Genre,Date_Naissance,Pays_Naissance,Lieu_Naissance,Nationalite,Type_Residence,Residence_Num_Rue,Residence_Rue,Residence_Code_Postal,Residence_Localite,Residence_Commune,Residence_Pays,Etat_Civil,Enfants,Statut_SH,Orientation_SH,Statut_CTR,REVIS,Titre_Sejour,Debut_Titre_Sejour,Fin_Titre_Sejour,Autorisation_Travail_Debut,Autorisation_Travail_Fin,Autorisation_Travail_ISCO,Metier_ROME_1,Metier_ROME_1_Appellation,Metier_ROME_1_Experience,Metier_ROME_2,Metier_ROME_2_Appellation,Metier_ROME_2_Experience,Metier_ROME_3,Metier_ROME_3_Appellation,Metier_ROME_3_Experience,Formation_Reussie_ISCED,Formation_Reussie_Diplome,Formation_Reussie_Classe,Formation_Reussie_Specialite,Formation_Toutes_Specialites,Formation_Reussie_Pays,Formation_Reussie_Preuve,Langue_FR,Langue_LB,Langue_DE,Langue_EN,Langues_Autres,Mobilite
9939490192683,Germain,Frédéric,Masculin,19830328,Somalie,Roux,Somalienne,non-résident,117,avenue Nathalie Masson,9800,110801 Ettelbruck,Ettelbruck,Luxembourg,Divorcé,Oui,False,Inconnu,False,True,,,,,,,H2901,Mécanicien monteur,6 ans,,,,,,,4,Brevet de maîtrise,,Division administrative et commerciale,Langues,Roumanie,Déclaré,B,A,,C,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
1280460375023,Delorme,Monique,Féminin,20001021,Somalie,Fouquet-sur-Cordier,Afghane,non-résident,240,chemin Danielle Besnard,3100,110502 Echternach,Echternach,Belgique,Marié,Non,False,Inconnu,True,False,065 Membre de famille (UE avec hors UE),20250511,20270625,20240806,20270108,5120,H2901,Mécanicien monteur,,N1103,Agent logistique,7 ans,,,,7,Master,,,"Droit, Commerce, Éducation sociale",Portugal,Reconnu,B,C,C,,,Limitée (pas de voiture et pas de transports en commun disponible)
2457474416755,Traore,Josette,Féminin,19720110,Roumanie,Rolland-sur-Mer,Polonaise,résident,47,boulevard Eugène Prévost,9500,110201 Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg,PA,Inconnu,True,Marché ordinaire,True,False,,,,,,,J1501,Infirmier,,N1103,Agent logistique,,,,,2,Secondaire technique,5ème primaire,,"Hôtellerie-Restauration, Sciences naturelles, Comptabilité",Belgique,A valider,B,A,C,B,,"Excellente (permis A, B et véhicule personnel)"
9858616922469,Ferreira,Robert,Masculin,19801202,Roumanie,Dupont,Somalienne,résident,238,chemin Aubert,4400,110301 Differdange,Differdange,Allemagne,PA,Inconnu,False,Inconnu,False,False,,,,,,,K1207,Animateur social,5 ans,N1103,Préparateur de commandes,,,,,6,Bachelor,,Éducation sociale,Division administrative et commerciale,Érythrée,Vérifié,B,A,C,,,Limitée (pas de voiture et pas de transports en commun disponible)
5742752921252,Fournier,Joséphine,Féminin,19910903,Afghanistan,Muller,Française,résident,122,chemin Henri Lemaire,6600,110701 Remich,Remich,Luxembourg,Divorcé,Oui,False,Inconnu,True,True,,,,,,,G1603,Serveur,,J1501,Auxiliaire de vie,,I1308,Technicien helpdesk,9 ans,5,BTS,,Économie,"Mécanique, Comptabilité",France,Homologué,B,B,,C,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
0818563268402,Thomas,Marine,Féminin,19590323,Portugal,GuilletVille,Belge,résident,74,boulevard Josette Valette,8300,110101 Luxembourg,Luxembourg,Belgique,Veuf,Non,False,Inconnu,False,True,,,,20250624,20260809,9321,K1207,Éducateur,,I1308,Support informatique,11 ans,N1103,Agent logistique,,1,,5ème primaire,,"Langues, Informatique",Belgique,A valider,A,B,B,,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
7024881419140,Moulin,Roland,Masculin,19620408,Pologne,Benoit-les-Bains,Britannique,résident,238,boulevard de Vallée,5800,111001 Wiltz,Wiltz,Luxembourg,Divorcé,Non,False,Inconnu,True,True,100 Protection internationale (BPI),20230721,20270627,,,,M1203,Comptable,13 ans,K1207,Éducateur,,,,,3,CATP,,Droit,Sciences humaines,Belgique,Homologué,B,,,C,,"Excellente (permis A, B et véhicule personnel)"
7105176645394,Alves,Agathe,Féminin,19960424,Roumanie,Hernandez,Britannique,non-résident,243,chemin Nicolas Leclercq,7300,110301 Differdange,Differdange,Allemagne,Marié,Inconnu,False,Inconnu,False,True,100 Protection internationale (BPI),20250915,20270621,,,,M1607,Secrétaire,,I1308,Technicien support,,,,,0,Secondaire classique,12ème EST,Langues,Informatique,France,Déclaré,B,A,A,C,Espagnol: C,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
7496106007217,Bègue,Audrey,Féminin,19760528,France,Saint Françoise,Néerlandaise,non-résident,157,chemin Marthe Petit,7700,110301 Differdange,Differdange,France,Séparé,Non,False,Inconnu,False,False,,,,,,,G1603,Agent de restauration,11 ans,,,,,,,3,DT,,,"Langues, Sciences naturelles",Pologne,A valider,B,A,B,C,Néerlandais: C,"Excellente (permis A, B et véhicule personnel)"
5785409418188,Sanchez,Louis,Masculin,19890310,Pays-Bas,Tessierboeuf,Néerlandaise,résident,156,chemin Lévy,4600,111001 Wiltz,Wiltz,Luxembourg,Inconnu,Inconnu,False,Inconnu,True,False,,,,20250510,20261211,2412,K1207,Éducateur,0 ans,I1308,Technicien support,9 ans,,,,7,Master,,,Sciences humaines,Italie,A valider,B,C,A,A,Espagnol: B,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
9757042835457,Jacob,Patrick,Masculin,19850216,Italie,Lelièvre,Portugaise,résident,115,rue Guillou,8600,110401 Dudelange,Dudelange,Luxembourg,PA,Oui,True,Inconnu,False,False,,,,,,,M1203,Comptable,2 ans,K2111,Formateur professionnel,3 ans,,,,5,BTS,,Langues,"Sciences humaines, Mécanique, Économie",Pologne,Reconnu,C,A,,C,,Limitée (pas de voiture et pas de transports en commun disponible)
6903596032013,Gros,Jean,Masculin,19680123,Pologne,Saint Richarddan,Portugaise,résident,198,chemin Isabelle Robin,7800,111001 Wiltz,Wiltz,Allemagne,Divorcé,Oui,False,Inconnu,False,True,,,,,,,D1406,Chef des ventes,7 ans,N1103,Magasinier,14 ans,,,,0,Secondaire technique,9ème EST,Comptabilité,"Mécanique, Commerce, Économie",Syrie,Homologué,C,A,A,A,Espagnol: C,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
8187763712527,Antoine,Philippine,Féminin,19980804,Syrie,Sainte Zoédan,Érythréenne,non-résident,31,boulevard de Moreau,8400,110901 Diekirch,Diekirch,Luxembourg,Séparé,Inconnu,True,Atelier protégé,True,False,,,,,,,J1501,Infirmier,1 ans,,,,,,,2,,2ème ESC,Langues,"Commerce, Éducation sociale, Soins infirmiers",Afghanistan,Vérifié,C,C,,B,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
7802792910754,Charrier,Colette,Féminin,19570802,Royaume-Uni,Legendre,Allemande,résident,109,chemin Bertrand Lefèvre,4200,110601 Grevenmacher,Grevenmacher,Belgique,Marié,Non,False,Inconnu,False,False,130 Autorisation de séjour temporaire,20240617,20270428,20250427,20260729,5120,H2901,Monteur,7 ans,,,,,,,1,Secondaire technique,12ème EST,Hôtellerie-Restauration,Droit,Roumanie,A valider,C,C,A,,,"Excellente (permis A, B et véhicule personnel)"
8516881049739,Lefebvre,Dorothée,Féminin,20001001,Allemagne,Saint Marthedan,Belge,résident,240,chemin de Guilbert,3300,110301 Differdange,Differdange,Luxembourg,Inconnu,Inconnu,False,Inconnu,False,False,,,,,,,G1603,Employé de restauration,,M1203,Comptable,4 ans,D1406,Chef des ventes,,7,Master,,Division administrative et commerciale,"Sciences naturelles, Sciences humaines, Commerce",France,Déclaré,A,C,C,C,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
1767511502974,Munoz,Victoire,Féminin,19861218,Espagne,BruneauBourg,Portugaise,résident,51,boulevard de Petitjean,8200,110801 Ettelbruck,Ettelbruck,Luxembourg,PA,Oui,False,Inconnu,False,False,,,,20251217,20260727,5223,M1203,Comptable,11 ans,,,,,,,7,Master,,Informatique,"Comptabilité, Sciences naturelles, Éducation sociale",Portugal,Homologué,C,C,A,,Russe: B,Limitée (pas de voiture et pas de transports en commun disponible)
2253580581750,Millet,Monique,Féminin,19841211,Somalie,Sainte Alex-la-Forêt,Italienne,résident,207,rue Charlotte Barthelemy,6500,110301 Differdange,Differdange,Luxembourg,Séparé,Inconnu,False,Inconnu,False,False,,,,,,,K2111,Formateur,,I1308,Technicien helpdesk,13 ans,,,,5,BTS,,Mécanique,"Droit, Mécanique",France,Vérifié,B,A,B,B,Portugais: C,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
4064505091219,Mathieu,Anastasie,Féminin,19891121,Pays-Bas,Saint Stéphanie,Belge,résident,3,rue Lambert,3600,111001 Wiltz,Wiltz,Belgique,Célibataire,Non,False,Inconnu,False,False,120 Carte de séjour UE,20240819,20271019,,,,N1103,Agent logistique,7 ans,,,,,,,7,Master,,Langues,"Droit, Sciences humaines, Informatique",France,Homologué,B,A,C,,Portugais: A,"Excellente (permis A, B et véhicule personnel)"
8922600849343,Joubert,Sébastien,Masculin,19680617,Belgique,Saint Valentine,Portugaise,résident,128,rue Tristan Perrier,9500,110101 Luxembourg,Luxembourg,Luxembourg,Célibataire,Inconnu,False,Inconnu,True,False,,,,,,,D1406,Responsable commercial,4 ans,M1607,Assistant administratif,,N1103,Préparateur de commandes,3 ans,2,Secondaire technique,9ème EST,,"Hôtellerie-Restauration, Mécanique",Royaume-Uni,A valider,B,A,B,C,Néerlandais: B,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
0112169454730,Morin,Manon,Féminin,19991212,Italie,Lucas,Afghane,résident,67,rue Baudry,1400,110901 Diekirch,Diekirch,Luxembourg,Inconnu,Inconnu,True,Atelier protégé,False,True,,,,,,,M1203,Assistant comptable,,,,,H2901,Mécanicien monteur,3 ans,7,Master,,Sciences naturelles,Langues,Pologne,Déclaré,B,C,C,B,Italien: B,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
1114628435337,Maillet,Charles,Masculin,20030818,Syrie,Sainte Arthurnec,Italienne,résident,217,avenue Dupuy,2700,110201 Esch-sur-Alzette,Esch-sur-Alzette,Allemagne,Divorcé,Non,False,Inconnu,False,False,,,,,,,J1501,Auxiliaire de vie,,,,,,,,1,Secondaire classique,5ème primaire,Électronique,Commerce,Pays-Bas,Vérifié,A,B,B,C,Portugais: A,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
0513144421466,Allain,Alain,Masculin,19560606,Allemagne,Sainte Franck,Polonaise,résident,133,avenue Antoine,7600,110201 Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg,Séparé,Inconnu,False,Inconnu,False,False,130 Autorisation de séjour temporaire,20241124,20270924,,,,J1501,Auxiliaire de vie,0 ans,M1607,Secrétaire,3 ans,,,,2,Secondaire technique,2ème ESC,Droit,"Électronique, Éducation sociale, Commerce",Afghanistan,Déclaré,A,A,,C,Arabe: A,"Excellente (permis A, B et véhicule personnel)"
8367582603162,Paris,Valérie,Féminin,19710331,Royaume-Uni,Sainte ÉlisabethBourg,Belge,résident,237,avenue Leconte,2800,111001 Wiltz,Wiltz,Luxembourg,Inconnu,Oui,False,Inconnu,False,False,,,,,,,G1603,Employé de restauration,12 ans,,,,,,,4,Diplôme d'éducateur,,Sciences humaines,"Sciences humaines, Comptabilité",Royaume-Uni,Vérifié,A,,C,A,,"Excellente (permis A, B et véhicule personnel)"
9341164546694,Gomez,Gilles,Masculin,19790403,Syrie,Léger,Italienne,inconnu,198,rue Joseph,9200,110701 Remich,Remich,Allemagne,Inconnu,Non,False,Inconnu,True,False,,,,,,,M1607,Assistant administratif,10 ans,I1308,Technicien helpdesk,1 ans,,,,0,Secondaire classique,2ème ESC,Éducation sociale,"Mécanique, Comptabilité",Royaume-Uni,Reconnu,B,,A,C,,Limitée (pas de voiture et pas de transports en commun disponible)
6178459801058,Besson,Anne,Féminin,19820722,Érythrée,Pelletier,Afghane,résident,31,avenue Paulette Meyer,2500,110301 Differdange,Differdange,Luxembourg,Inconnu,Non,False,Inconnu,True,False,120 Carte de séjour UE,20230602,20271222,20240325,20261022,2310,N1103,Magasinier,1 ans,I1308,Technicien helpdesk,5 ans,,,,3,DAP,,Mécanique,"Sciences humaines, Informatique, Éducation sociale",France,Homologué,B,C,B,B,,Limitée (pas de voiture et pas de transports en commun disponible)
3969285504495,Perez,Gabrielle,Féminin,19870113,Luxembourg,Hésperange,Française,résident,227,avenue Bonnin,8000,110401 Dudelange,Dudelange,Luxembourg,Inconnu,Oui,False,Inconnu,False,False,,,,,,,I1308,Support informatique,,K1207,Éducateur,13 ans,G1603,Agent de restauration,3 ans,1,Secondaire technique,5ème primaire,,"Comptabilité, Soins infirmiers",Allemagne,Reconnu,C,A,B,B,Espagnol: B,"Excellente (permis A, B et véhicule personnel)"
3892985702166,Thierry,Jacqueline,Féminin,19530504,Somalie,Sainte Anoukdan,Espagnole,résident,167,chemin Margot Langlois,2400,110401 Dudelange,Dudelange,Luxembourg,Célibataire,Oui,False,Inconnu,False,False,065 Membre de famille (UE avec hors UE),20240321,20270627,,,,K2111,Formateur,4 ans,K1207,Animateur social,1 ans,,,,0,Secondaire classique,5ème primaire,,Éducation sociale,Pays-Bas,Déclaré,B,,B,,,"Excellente (permis A, B et véhicule personnel)"
0203092453520,Pasquier,Olivier,Masculin,19610819,Italie,CouturierVille,Luxembourgeoise,résident,6,boulevard Emmanuelle Hamel,8000,111001 Wiltz,Wiltz,Allemagne,PA,Non,False,Inconnu,True,False,,,,20240705,20260910,2320,J1501,Aide-soignant,3 ans,M1607,Secrétaire,12 ans,,,,3,CATP,,Électronique,"Droit, Mécanique, Sciences naturelles",Pologne,Homologué,C,A,,,Arabe: C,"Excellente (permis A, B et véhicule personnel)"
7555825550728,Roux,Agathe,Féminin,19690813,Syrie,Leroy,Italienne,non-résident,250,rue Pruvost,7400,111001 Wiltz,Wiltz,France,Divorcé,Inconnu,False,Inconnu,False,False,,,,,,,G1603,Serveur,,,,,D1406,Chef des ventes,,0,Secondaire classique,5ème primaire,Division administrative et commerciale,"Informatique, Commerce",Pologne,A valider,B,,C,A,,Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs)
3964444328699,Vidal,Marc,Masculin,19830318,Allemagne,Fabre-sur-Mer,Érythréenne,non-résident,76,rue de Lemonnier,8800,110801 Ettelbruck,Ettelbruck,Belgique,Inconnu,Non,True,Marché ordinaire,False,True,,,,,,,I1308,Technicien support,19 ans,D1406,Responsable commercial,6 ans,,,,4,Brevet de maîtrise,,Électronique,"Mécanique, Comptabilité, Sciences naturelles",Espagne,Vérifié,A,B,,B,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
1674976373485,Buisson,Henri,Masculin,19920424,Pays-Bas,ValentinVille,Somalienne,résident,210,rue Joseph,8400,110502 Echternach,Echternach,Luxembourg,Célibataire,Inconnu,False,Inconnu,False,False,,,,,,,H2901,Monteur,13 ans,N1103,Préparateur de commandes,6 ans,M1607,Secrétaire,10 ans,4,Diplôme d'éducateur,,Hôtellerie-Restauration,"Division administrative et commerciale, Soins infirmiers",France,Vérifié,B,B,A,,,Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)
